date,close,high,low,open,volume,weightedAverage
2016-06-30 08:00:00,4.198,4.234,4.003,4.07259227,4086.25719725,4.13921712
2016-07-01 08:00:00,4.31599999,4.36038463,4.174,4.198,11608.9929372,4.31637239
2016-07-02 08:00:00,4.64,4.90539259,4.267112,4.27006038,15451.745802,4.53400071
2016-07-03 08:00:00,4.32,4.6475,4.18048963,4.643,4486.91689769,4.37864754
2016-07-04 08:00:00,4.512,4.55,4.162,4.28000001,5985.79433597,4.40539295
2016-07-05 08:00:00,4.38000024,4.53399999,4.24,4.51000025,10451.0121865,4.37755077
2016-07-06 08:00:00,4.47277407,4.5,4.39400002,4.495,314.94162878,4.45627679
2016-07-07 08:00:00,4.115,4.534,3.89799999,4.488,13935.1367659,4.09140159
2016-07-08 08:00:00,4.2642907,4.2642907,4.06100002,4.10400378,7070.89187948,4.12504477
2016-07-09 08:00:00,4.13562856,4.26720353,3.97151583,4.25,9427.29432646,4.09333739
2016-07-10 08:00:00,4.15199671,4.16299999,4.05000001,4.137512,1209.42420126,4.1245269
2016-07-11 08:00:00,4.11980714,4.213,4.06000005,4.15156227,956.36150355,4.14732134
2016-07-12 08:00:00,4.18487599,4.257,4.07800002,4.10400001,2509.50647982,4.19932275
2016-07-13 08:00:00,4.154625,4.22199748,4.14600001,4.17576913,746.86257601,4.16263004
2016-07-14 08:00:00,4.18160721,4.20592663,4.13,4.14930518,278.5031631,4.17394525
2016-07-15 08:00:00,4.19158662,4.22199999,4.11000001,4.17007801,2378.23999926,4.16661348
2016-07-16 08:00:00,4.16959781,4.19999595,4.11700052,4.19157822,1179.38509898,4.17762115
2016-07-17 08:00:00,4.18700002,4.25186563,4.13432761,4.18599987,2987.87259647,4.20747416
2016-07-18 08:00:00,4.16010689,4.23829999,4.16000003,4.18700002,3330.49596201,4.19078384
2016-07-19 08:00:00,4.18663515,4.19698123,4.1464287,4.1708189,622.63852809,4.15794075
2016-07-20 08:00:00,4.13,4.18055231,4.12792214,4.14501476,2191.60314424,4.14023804
2016-07-21 08:00:00,4.142,4.16,4.11815032,4.13,592.57706582,4.12668681
2016-07-22 08:00:00,4.02151606,4.173,3.98811855,4.13320188,3975.27018381,4.0699111
2016-07-23 08:00:00,4.07799999,4.08699984,3.9,4.02151606,2615.23556609,4.01440341
2016-07-24 08:00:00,4.06668745,4.13,4.008,4.08143674,5549.74266533,4.07048049
2016-07-25 08:00:00,4.04751976,4.09599403,4.0,4.08602401,3061.6409966,4.01415367
2016-07-26 08:00:00,3.98745807,4.06699965,3.9,4.04751976,10684.7360655,3.97767596
2016-07-27 08:00:00,3.98237994,4.00699068,3.898,3.94800053,4968.28035416,3.96128047
2016-07-28 08:00:00,3.95714027,3.99998986,3.95035903,3.99699997,135.84207176,3.98542618
2016-07-29 08:00:00,4.09771372,4.11652619,3.941699,3.9744879,2396.43048385,4.0428861
2016-07-30 08:00:00,4.06220416,4.11499731,4.039,4.11499731,2349.48792898,4.06399536
2016-07-31 08:00:00,3.95551551,4.16999999,3.93834271,4.05866997,5217.72003695,3.99761088
2016-08-01 08:00:00,3.89199999,3.97599999,3.84484183,3.94565889,3934.31559113,3.89969941
